match_date,league,home_team,away_team,ht_home,ht_away,ft_home,ft_away,ms1_open,ms1_close,msx_open,msx_close,ms2_open,ms2_close,ou15_over_open,ou15_over_close,ou15_under_open,ou15_under_close,ou25_over_open,ou25_over_close,ou25_under_open,ou25_under_close,iy05_over_open,iy05_over_close,iy05_under_open,iy05_under_close,btts_yes_open,btts_yes_close,btts_no_open,btts_no_close,source
2023-08-12,Bundesliga,Bayern,Bremen,2,0,4,0,1.30,1.25,5.50,6.00,9.00,11.0,1.10,1.08,7.00,8.50,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.60,1.55,2.30,2.40,bet365
2023-08-19,Bundesliga,Augsburg,Mgladbach,1,2,4,4,2.40,2.35,3.50,3.55,2.85,2.90,1.18,1.15,5.00,6.00,1.65,1.60,2.25,2.35,1.50,1.45,2.55,2.70,1.55,1.50,2.40,2.50,bet365
2023-09-02,LaLiga,RealMadrid,Getafe,1,0,2,1,1.32,1.28,5.20,5.75,9.50,10.5,1.10,1.08,7.20,8.40,1.58,1.55,2.40,2.50,1.46,1.42,2.66,2.80,1.62,1.58,2.28,2.36,bet365
2023-09-16,LaLiga,Atletico,RealMadrid,0,1,3,1,2.80,2.70,3.20,3.25,2.55,2.60,1.20,1.18,4.80,5.60,1.70,1.65,2.20,2.28,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2023-09-30,PremierLeague,ManCity,Forest,2,0,2,0,1.28,1.22,6.00,6.40,10.0,12.5,1.08,1.06,8.00,9.50,1.50,1.46,2.55,2.65,1.42,1.38,2.85,3.00,1.65,1.60,2.25,2.32,bet365
2023-10-07,PremierLeague,Liverpool,Brighton,1,1,2,2,1.55,1.50,4.00,4.20,5.50,5.80,1.12,1.10,6.20,7.50,1.62,1.58,2.30,2.40,1.48,1.44,2.60,2.75,1.55,1.50,2.40,2.55,bet365
2023-10-14,SerieA,Inter,Bologna,2,1,2,1,1.45,1.40,4.40,4.70,7.00,7.50,1.13,1.10,5.80,7.00,1.65,1.60,2.25,2.35,1.50,1.46,2.55,2.65,1.60,1.55,2.30,2.40,bet365
2023-10-21,SerieA,Juventus,Milan,0,0,1,0,2.20,2.10,3.20,3.30,3.40,3.50,1.18,1.16,5.00,5.80,1.85,1.78,2.05,2.10,1.60,1.55,2.30,2.45,1.70,1.65,2.10,2.20,bet365
2023-10-28,Bundesliga,Dortmund,Frankfurt,2,1,3,3,1.60,1.55,4.30,4.50,5.20,5.50,1.12,1.10,6.00,7.20,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.50,1.46,2.55,2.70,bet365
2023-11-04,LaLiga,Barcelona,RealSociedad,0,1,1,2,1.65,1.58,4.00,4.20,5.00,5.30,1.13,1.11,5.80,6.80,1.60,1.55,2.30,2.40,1.50,1.45,2.55,2.65,1.55,1.50,2.40,2.55,bet365
2023-11-11,PremierLeague,Arsenal,Burnley,2,0,3,1,1.30,1.26,5.50,5.80,9.00,10.5,1.10,1.08,7.00,8.40,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.62,1.58,2.28,2.36,bet365
2023-11-18,PremierLeague,Chelsea,ManCity,2,1,4,4,3.10,3.00,3.40,3.50,2.30,2.25,1.20,1.18,4.60,5.40,1.70,1.65,2.20,2.30,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2023-11-25,SerieA,Roma,Udinese,1,0,3,1,1.55,1.50,4.20,4.40,5.50,5.80,1.13,1.11,5.80,6.80,1.62,1.58,2.30,2.40,1.48,1.44,2.60,2.75,1.55,1.50,2.40,2.55,bet365
2023-12-02,SerieA,Napoli,Inter,0,1,0,3,3.00,2.95,3.30,3.35,2.45,2.40,1.20,1.18,4.60,5.40,1.75,1.70,2.10,2.18,1.60,1.55,2.30,2.45,1.55,1.50,2.40,2.55,bet365
2023-12-09,Bundesliga,Leipzig,Hoffenheim,1,0,3,1,1.62,1.58,4.30,4.50,5.10,5.40,1.12,1.10,6.00,7.20,1.58,1.54,2.40,2.50,1.46,1.42,2.66,2.80,1.55,1.50,2.40,2.55,bet365
2023-12-16,LaLiga,Sevilla,Getafe,1,1,3,3,2.10,2.05,3.30,3.35,3.60,3.70,1.18,1.16,5.00,5.80,1.80,1.74,2.10,2.18,1.58,1.54,2.40,2.50,1.55,1.50,2.40,2.55,bet365
2023-12-23,PremierLeague,Liverpool,Arsenal,1,1,1,1,1.95,1.90,3.50,3.60,3.90,4.00,1.16,1.13,5.50,6.40,1.78,1.72,2.10,2.18,1.55,1.50,2.45,2.60,1.65,1.60,2.20,2.30,bet365
2024-01-13,SerieA,Milan,Roma,2,1,3,1,1.78,1.72,3.80,3.95,4.40,4.60,1.14,1.12,5.60,6.50,1.66,1.62,2.25,2.35,1.50,1.46,2.55,2.65,1.58,1.54,2.35,2.45,bet365
2024-01-20,Bundesliga,Bayern,Wolfsburg,2,0,2,1,1.32,1.28,5.40,5.75,9.20,10.5,1.10,1.08,7.20,8.50,1.58,1.55,2.40,2.50,1.46,1.42,2.66,2.80,1.62,1.58,2.28,2.36,bet365
2024-01-27,LaLiga,RealMadrid,Las Palmas,0,1,2,1,1.30,1.25,5.50,6.00,9.00,11.0,1.10,1.08,7.00,8.50,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.60,1.55,2.30,2.40,bet365
2024-02-03,PremierLeague,ManCity,Burnley,2,0,3,1,1.20,1.18,7.00,7.50,15.0,16.0,1.06,1.05,9.00,11.0,1.45,1.42,2.65,2.75,1.40,1.36,3.00,3.20,1.62,1.58,2.28,2.36,bet365
2024-02-10,SerieA,Inter,Juventus,0,0,1,0,2.05,2.00,3.30,3.40,3.70,3.80,1.18,1.15,5.20,6.00,1.85,1.80,2.05,2.10,1.62,1.58,2.28,2.36,1.70,1.65,2.10,2.20,bet365
2024-02-17,Bundesliga,Bayern,Leipzig,1,1,2,1,1.80,1.75,3.90,4.05,4.20,4.40,1.14,1.12,5.60,6.50,1.65,1.60,2.25,2.35,1.50,1.46,2.55,2.65,1.58,1.54,2.35,2.45,bet365
2024-02-24,LaLiga,Atletico,Sevilla,0,0,1,0,1.70,1.65,3.90,4.10,4.80,5.00,1.14,1.12,5.50,6.40,1.74,1.68,2.10,2.18,1.58,1.54,2.40,2.50,1.65,1.60,2.20,2.30,bet365
2024-03-02,PremierLeague,Liverpool,Forest,2,0,3,0,1.32,1.28,5.40,5.75,9.20,10.5,1.10,1.08,7.20,8.50,1.58,1.55,2.40,2.50,1.46,1.42,2.66,2.80,1.62,1.58,2.28,2.36,bet365
2024-03-09,SerieA,Napoli,Roma,2,0,2,1,1.95,1.90,3.55,3.65,3.85,4.00,1.15,1.13,5.50,6.30,1.68,1.62,2.20,2.30,1.52,1.48,2.50,2.60,1.55,1.50,2.40,2.55,bet365
2024-03-16,Bundesliga,Leverkusen,Wolfsburg,1,0,2,0,1.28,1.24,5.80,6.20,10.0,11.5,1.09,1.07,7.50,9.00,1.50,1.46,2.55,2.65,1.42,1.38,2.85,3.00,1.65,1.60,2.25,2.32,bet365
2024-03-30,LaLiga,Barcelona,Las Palmas,1,0,1,0,1.28,1.24,5.80,6.20,10.0,11.5,1.09,1.07,7.50,9.00,1.50,1.46,2.55,2.65,1.42,1.38,2.85,3.00,1.65,1.60,2.25,2.32,bet365
2024-04-06,PremierLeague,ManUnited,Liverpool,2,2,2,2,3.00,2.90,3.40,3.50,2.40,2.35,1.20,1.18,4.80,5.60,1.72,1.66,2.15,2.25,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2024-04-13,SerieA,Lazio,Salernitana,2,0,4,1,1.40,1.36,4.50,4.80,7.50,8.00,1.12,1.10,6.00,7.20,1.62,1.58,2.30,2.40,1.48,1.44,2.60,2.75,1.58,1.54,2.35,2.45,bet365
2024-04-20,Bundesliga,Frankfurt,Augsburg,1,1,3,1,1.85,1.80,3.70,3.85,4.10,4.30,1.14,1.12,5.60,6.50,1.66,1.62,2.25,2.35,1.50,1.46,2.55,2.65,1.55,1.50,2.40,2.55,bet365
2024-04-27,LaLiga,RealMadrid,Cadiz,0,0,3,0,1.22,1.18,6.50,7.20,12.0,14.0,1.08,1.06,8.00,9.50,1.48,1.44,2.60,2.70,1.42,1.38,2.85,3.00,1.65,1.60,2.25,2.32,bet365
2024-05-04,PremierLeague,Arsenal,Bournemouth,1,0,3,0,1.30,1.26,5.50,5.80,9.00,10.5,1.10,1.08,7.00,8.40,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.62,1.58,2.28,2.36,bet365
2024-05-11,SerieA,Inter,Lazio,2,1,1,1,1.55,1.50,4.20,4.40,5.50,5.80,1.13,1.11,5.80,6.80,1.62,1.58,2.30,2.40,1.48,1.44,2.60,2.75,1.55,1.50,2.40,2.55,bet365
2024-05-18,Bundesliga,Bayern,Hoffenheim,0,1,2,4,1.32,1.28,5.40,5.75,9.20,10.5,1.10,1.08,7.20,8.50,1.58,1.55,2.40,2.50,1.46,1.42,2.66,2.80,1.60,1.55,2.30,2.40,bet365
2024-08-17,LaLiga,Sevilla,Villarreal,1,1,2,2,2.10,2.05,3.30,3.35,3.60,3.70,1.18,1.16,5.00,5.80,1.78,1.72,2.10,2.18,1.58,1.54,2.40,2.50,1.55,1.50,2.40,2.55,bet365
2024-08-24,PremierLeague,ManCity,Ipswich,1,0,4,1,1.22,1.18,6.50,7.20,12.0,14.0,1.08,1.06,8.00,9.50,1.48,1.44,2.60,2.70,1.42,1.38,2.85,3.00,1.62,1.58,2.28,2.36,bet365
2024-08-31,SerieA,Juventus,Verona,2,0,3,0,1.40,1.36,4.50,4.80,7.50,8.00,1.12,1.10,6.00,7.20,1.62,1.58,2.30,2.40,1.48,1.44,2.60,2.75,1.58,1.54,2.35,2.45,bet365
2024-09-14,Bundesliga,Leverkusen,Leipzig,2,1,3,3,1.78,1.72,3.95,4.05,4.30,4.50,1.14,1.12,5.60,6.50,1.66,1.62,2.25,2.35,1.50,1.46,2.55,2.65,1.55,1.50,2.40,2.55,bet365
2024-09-21,LaLiga,Barcelona,Girona,2,1,4,1,1.30,1.26,5.50,5.80,9.00,10.5,1.10,1.08,7.00,8.40,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.62,1.58,2.28,2.36,bet365
2024-09-28,PremierLeague,Liverpool,Wolves,2,1,2,1,1.28,1.24,5.80,6.20,10.0,11.5,1.09,1.07,7.50,9.00,1.50,1.46,2.55,2.65,1.42,1.38,2.85,3.00,1.65,1.60,2.25,2.32,bet365
2024-10-05,SerieA,Inter,Torino,2,1,3,2,1.45,1.40,4.40,4.70,7.00,7.50,1.13,1.10,5.80,7.00,1.65,1.60,2.25,2.35,1.50,1.46,2.55,2.65,1.60,1.55,2.30,2.40,bet365
2024-10-19,Bundesliga,Frankfurt,Bayern,1,2,3,3,3.20,3.10,3.80,3.90,2.10,2.05,1.18,1.16,4.50,5.20,1.65,1.60,2.25,2.35,1.50,1.46,2.55,2.65,1.45,1.42,2.70,2.85,bet365
2024-10-26,LaLiga,RealMadrid,Barcelona,0,2,0,4,2.05,2.00,3.50,3.55,3.50,3.55,1.16,1.14,5.20,6.00,1.78,1.72,2.10,2.18,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2024-11-02,PremierLeague,Arsenal,Newcastle,0,1,0,1,1.65,1.58,4.00,4.20,5.00,5.30,1.13,1.11,5.80,6.80,1.78,1.70,2.10,2.18,1.55,1.50,2.45,2.60,1.65,1.60,2.20,2.30,bet365
2024-11-09,SerieA,Milan,Napoli,1,2,0,2,2.55,2.50,3.30,3.35,2.80,2.85,1.18,1.16,5.00,5.80,1.72,1.66,2.15,2.25,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2024-11-23,Bundesliga,Dortmund,Stuttgart,1,1,1,1,1.85,1.80,3.85,4.00,4.10,4.30,1.14,1.12,5.60,6.50,1.66,1.62,2.25,2.35,1.50,1.46,2.55,2.65,1.55,1.50,2.40,2.55,bet365
2024-11-30,LaLiga,Atletico,Valladolid,3,0,5,0,1.30,1.25,5.50,6.00,9.00,11.0,1.10,1.08,7.00,8.50,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.60,1.55,2.30,2.40,bet365
2024-12-07,PremierLeague,Chelsea,Tottenham,3,0,4,3,2.05,2.00,3.55,3.65,3.55,3.60,1.16,1.14,5.20,6.00,1.78,1.72,2.10,2.18,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2024-12-14,SerieA,Lazio,Inter,2,1,2,1,2.85,2.75,3.30,3.35,2.50,2.45,1.20,1.18,4.60,5.40,1.74,1.68,2.10,2.18,1.55,1.50,2.45,2.60,1.50,1.46,2.55,2.70,bet365
2025-01-12,Bundesliga,Bayern,Mgladbach,1,0,1,0,1.30,1.26,5.50,5.80,9.00,10.5,1.10,1.08,7.00,8.40,1.55,1.50,2.45,2.55,1.45,1.40,2.70,2.85,1.62,1.58,2.28,2.36,bet365
